cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_ID,rowsum
261,0000000000,1222,2801,1917,378351,858481,362783,892538,374142,878773,364532,879886,0,1
262,0220012211,660,2809,910,223979,410812,162639,387917,211194,482209,401371,459676,2,1
263,0000000000,1164,2815,1096,252130,593831,245107,591475,247320,588969,242606,582241,0,1
264,0000000000,612,2817,901,143561,335892,181788,336111,156553,346028,149817,401685,0,1
265,0000000000,1079,2819,1074,219931,486344,217442,500930,215819,494379,219519,519989,0,1
266,1111111111,672,2838,1629,318946,850696,323937,698345,355605,841182,987495,1788802,3,1
267,0000000000,1235,2860,1397,221170,506409,215236,498216,214097,512262,214562,498410,0,1
268,0000000000,717,2862,1295,267485,637712,264962,626110,286758,655608,272036,1262824,0,1
269,0000000000,1177,2861,1148,231815,531991,226774,528420,230761,541726,228021,527382,0,1
270,0000000000,1081,2873,1419,293638,668721,287892,674494,286429,688627,291399,697351,0,1
271,0000000000,641,2870,1226,241918,574030,856573,535359,320937,602358,559878,796995,0,1
272,0000000000,584,2873,1219,192234,435979,204995,558361,208165,465299,197610,539038,0,1
273,0102211000,681,2882,1211,262946,723527,267015,575825,295544,782765,404952,3582689,0,1
274,0000000000,958,2876,830,199898,457728,194785,476301,194052,461820,193797,491673,0,1
275,0000000000,1159,2884,990,188309,433334,184216,433318,185425,427339,186429,433517,0,1
276,0000000000,627,2915,1496,305466,767919,2134143,977448,355983,746219,291658,1350888,0,1
277,0000000000,596,2911,622,126307,356773,637009,898861,303747,283678,135501,359858,0,1
278,0222012001,664,2933,2749,597672,1826956,667507,1297732,692887,1870277,563744,6341777,0,1
279,1101111111,594,2942,969,196193,409454,526371,3462881,302741,435263,194595,500798,26,1
280,0100212221,712,2945,1142,272917,664017,543650,524053,760086,569959,261082,766546,4,1
281,1111111111,1756,2949,1630,321337,757122,1270184,762350,372093,823845,328288,798046,3,1
282,0000000000,742,2952,1038,216460,474423,454480,464175,245371,482214,207820,503951,0,1
283,0000000000,2219,2957,1100,188446,407729,178067,418609,177766,405411,172107,392507,0,1
284,0000000000,688,2960,451,121628,237277,86640,196485,180913,257612,90868,390083,0,1
285,0100211021,625,2971,798,199159,384274,182035,388995,409144,414016,164585,611316,20,1
286,1111111111,579,2970,631,125820,292469,121258,3296819,158073,290900,122701,309082,3,1
287,0100212201,600,2982,909,218095,468536,253269,861272,271801,517266,176508,484541,10,1
288,0101111010,1703,2983,1165,269718,745314,956158,602862,312078,728620,257003,1712686,0,1
289,0000000000,667,2970,177,46489,121113,36359,82350,59665,102024,37667,383710,0,1
290,0000000000,693,2984,638,154321,273246,119852,283706,146587,341669,123185,307583,0,1
291,0000000000,643,2988,393,103705,186793,76653,183765,132962,219198,78558,313268,0,1
292,0000000000,669,2989,749,186468,329415,138500,329801,480211,369268,162850,415324,0,1
293,0212011221,1623,3001,1268,258666,570589,246062,580972,289190,2317232,252130,1341879,0,1
294,0111111001,1670,2999,1136,255914,551803,632609,547882,267703,842133,231161,618431,0,1
