cell_id,Barcode,ChAT,fru,Gad1,SerT,sNPF,tbh,Ple,VGlut
224,1110111000,125558,61,59850,379,363208,29298,14,289
225,2120212020,110623,161,313,285,410039,8673,213,6510
228,2120212020,230977,0,268,49,361828,2892,29182,1802
231,2120212120,229355,82,333,413,475025,1837,49,382
233,2210211200,160429,1010,797,536,568463,9164,57933,3997
234,0111111100,407554,249,3660,894,775556,3494,442,12975
239,2120212020,140466,10564,20,755,673717,5480,0,24269
241,0122011221,32342,9059,17,101,249750,112,0,800
246,2120212220,149077,146,231,924,737823,19883,372610,11803
248,1111111010,96508,2320,1181,151,261887,25694,16,372
249,1121011101,89753,6774,3480,1108,619958,7313,62,628909
250,2200211200,235754,133,592,331,331636,1336,288,2333
251,2120212020,54791,5400,502,156,423060,6131,0,1082
252,2200211200,106948,246,555,225,4024643,191,13930,5489
253,2010012221,35108,8,13263,171,489151,3507,108,319409
255,0122011221,150326,3225,30,101,540119,1327,0,1008
259,2120212020,95477,56,236,212,398044,3031,27,5724
260,0122011221,40065,6124,338,1557,574598,1728,0,768
261,1110111011,172452,3281,11253,590,291919,8768,683,542
266,1111111111,109778,263,20412,103,412763,668,0,693
268,2120212220,66506,6931,482,300,551823,1108,71,101968
270,2200211200,133656,17796,5951,16783,592357,27741,24152,5930
272,1111111000,53248,93,8038,1652,879316,16513,30,1316581
273,0122011221,100390,1184,157,618,369144,10534,24,793
276,0122011221,30869,6821,317,146,391080,313,0,202
277,1111111111,53916,12,13159,272,381857,12264,47,352858
279,2122012221,42724,3119,0,240,672980,35215,0,651
280,0122011221,52441,15967,24,75,369313,426,17,305
283,1111101000,196880,393,145674,1465,510067,15194,99,586
286,0122111221,84690,8048,29,141,257383,2862,9,815
287,0122011221,127230,34047,42,309,1147054,2936,1724,1698
288,0122011221,70448,86723,0,9,845164,264,386,238
293,0122011221,65711,8944,111,426,1212024,4151,508,381
297,2120212020,50443,54,0,243,441643,706,0,233586
300,0122011221,109425,40076,162,1369,648701,20178,247,14977
301,0122011221,30939,59495,1311,212,1120167,392,3563,2803
303,0122011221,65629,11454,0,209,836950,388,0,474
304,0122011221,26857,18136,81,119,504512,546,309,188
308,0122011221,55078,2869,30,291,733048,17266,0,72513
316,0122011221,19676,1024,0,143,532629,776,74,1419
319,0012001000,50656,4892,48009,581,585729,5407,10,942110
320,0122011221,38929,11804,75,50,880704,1299,17,149
322,0122011221,7099,5257,4,57,534331,1428,0,180
323,0122011021,56177,247,293,369,603106,8338,17,366200
324,0122011221,40557,432,333,42,684449,601,0,77964
326,2120212020,91793,114,742,268,302764,14083,27,154704
327,0122011201,145427,4399,109,288,750751,2232,0,401516
328,0122011221,72486,63592,147,325,1201420,587,1452,5646
331,0122011221,17215,37294,0,211,688713,206,352,1228
332,0122011221,49645,65,0,147,874788,352,0,19491
339,0122212201,14077,435,2889577,678,655409,2811,1908,111064
342,0122011221,17691,29,13,46,602556,246,994,177
343,0122011221,68040,4092,0,228,757285,27634,22,135719
346,0121001000,149214,258,301588,956,711347,655,1802,404412
347,0122011221,38008,11374,0,47,702495,1184,0,465
348,2120211020,61171,5228,132,213,533883,1433,167,245497
353,0122011221,10610,13,4,149,377951,230,0,2190
354,0122011221,53155,331,51,247,690760,1314,100,21235
356,0122011221,51408,9199,0,305,376191,1329,0,953
361,0122212201,10607,14788,1952155,385,324928,771,1691,671
366,0122011221,99310,17297,147,88,909292,982,37,10739
367,0122011221,14660,134,12,159,615246,465,13942,2218
368,0122011221,42775,713,0,7,683568,506,49,331
370,0122011221,16208,275,0,46,365545,419,5223,45
379,0122212201,6369,1827,1937442,401,339838,614,991,94
380,0122011221,30988,1250,0,303,840479,1152,79,58867
382,0122011221,29079,3742,74,64,795887,1957,0,55314
386,0122011221,75946,6578,64,104,737002,447,0,10059
387,0122011221,58296,20615,0,1,424769,249,0,1299
388,0122011021,80624,356,285,436,751773,1329,29,56455
390,0122011221,27031,242,0,188,568946,480,12301,34707
391,0122011221,6357,244,0,76,380035,676,1502,86
395,0000001000,126688,37,17550,694,389781,1035,86,131
399,0122011221,7186,81,8,205,297832,190,59837,513
400,0122011221,5132,949,0,1817,410644,295,0,112
401,0122011221,56905,11849,0,0,490430,257,35,10341
402,0122011221,63737,149,0,745,904864,705,0,27440
403,0122011221,23951,8146,45,1107,608491,2098,268,189763
404,1111111002,33772,132,2432,218,435609,5152,19,424362
407,0122212201,7112,4913,2293234,144,437791,2092,840,3220
409,0122011221,19197,1382,0,3077,394929,17,0,838
410,1111111101,100472,28,0,42,105497,4397,0,4447
412,0122011221,28820,2547,82,190,695644,968,0,50610
414,0122011221,13164,138,59,251,563768,719,149,27168
422,1110001000,167178,74,14154,341,409552,9248,69,97
423,0122011221,21780,3333,0,79,637291,236,2422,459
426,0122011221,68696,16864,152,448,1451534,669,65,38981
430,0112212201,2720,945,1198044,45,297642,379,198,160
431,0122011221,7236,2709,0,0,310765,45,14158,1178
432,0122011221,55235,860,0,261,569767,875,0,288
434,2010011221,204917,4,78,78,141317,121,0,357
435,1111111000,28310,229,56,89,165373,9632,0,44255
438,1111101000,110657,760,0,42,139860,11014,0,62
439,0122011221,58461,1057,11,1,725749,288,0,5929
442,0122011221,53017,5482,36,87,1090817,986,526,11725
444,0122212201,8015,4395,2984748,275,576945,2711,3613,4694
446,0122011221,74956,45223,106,402,546341,360,3,26343
447,0122212201,4489,4656,2161777,419,372827,611,755,485
449,0122011221,33255,601,0,144,788620,526,21,316
451,0122212201,11256,1042,2551731,2162,527670,8154,2033,606
453,0122011221,17700,559,112,51,470955,192,0,32959
456,0122011221,8351,4562,2411,85,191820,162,541,181626
460,0122011221,32478,4730,0,3,256268,261,0,173
463,0122011221,9511,9869,0,184,511741,438,491,68464
464,0122011221,110725,19101,0,198,584227,1832,0,20254
467,0122011221,37704,1951,363,60,795711,725,0,4133
469,0122011221,63509,32972,380,148,672399,1178,351,1169
476,1132021111,76390,1631,2281,69,269294,770,2834,899
478,0122011221,70953,5472,57,932,737996,466,448391,68923
479,0122011221,59859,1598,96,52,426474,229,2343,448
480,1112211121,125761,5184,2580,625,375255,542,73546,26153
481,0122212201,3894,1409,821648,70,227979,145,151,15616
487,0122011221,60616,15977,355,465,689891,273,6276,53432
488,0122011221,41686,432,0,26,743832,401,0,33790
489,0122212201,8268,235,2053099,103,323007,521,288,110
490,0122011221,11965,802,0,0,227575,16,0,26
493,0122212201,7679,8389,3778045,390,886363,967,678,568
495,0122011221,74950,72322,188,624,1184768,960,38096,78538
496,0122011221,48343,102,0,136,911835,676,0,36639
498,0122212201,5028,179,1977592,255,414634,3896,1658,10678
500,0122212201,5270,264,2742030,319,530116,1490,1175,338
502,0122011221,37180,8620,0,187,474388,564,0,988
505,0122011221,16671,53481,0,8,892351,721,1579,24870
506,0122212201,4767,654,1478601,169,314765,8388,200,866
507,0122011221,84585,55008,22,172,1040405,2260,45,17591
508,0122011221,33330,56172,36,154,696451,98,1037,1214
510,0112211211,389345,8425,1034,638,1531664,1163,324054,114477
511,0122011221,5615,393,186,40,427605,213,1178,3433
512,0122011221,46067,4550,124,3411,713609,1413,96,235
513,0122011221,78457,633,0,149575,330004,337,54565,7974
514,0122212201,27661,238,3433516,704,712135,597,1860,2411
516,0122011221,38092,37888,120,13122,608484,637,224,1438
517,0100212101,102896,1076,10504,1143,375859,8180,22082,56473
518,1101001000,32372,5063,0,0,118322,2864,0,1110
519,0122212201,45040,14,651828,187,223864,599,197,41699
520,0122011221,54048,37585,2,292,734604,298,32,583
