cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_ID,rowsum
89,0000000000,1188,556,368,156376,80422,309228,79215,227314,82105,158812,82306,0,1
90,2122011221,1231,564,692,213485,136882,942528,140057,684847,142971,250896,135174,1,1
91,0000000000,1209,571,475,177936,99115,377049,101292,272446,105395,187298,99297,0,1
92,2122011221,1271,578,1551,702317,465521,3303962,361905,2299467,379806,727053,318893,1,1
93,0000000000,595,575,854,294084,166433,307478,168999,483211,172201,317480,168182,0,1
94,2122011221,1386,586,966,369946,245289,2967602,219877,1383835,231623,436744,198822,1,1
95,2122011221,1238,589,501,203826,117587,591363,110086,440037,115120,216531,104432,1,1
96,0000000000,691,603,1593,748103,321400,609262,343083,1042870,354041,660579,325204,0,1
97,2122011221,1356,595,667,213654,133220,1274629,131798,648718,141168,251842,125811,1,1
98,2122011221,1322,601,984,409774,234251,3284744,229107,1628451,235063,450415,198902,1,1
99,2122011221,1426,608,1080,399134,260001,2397958,239851,1537677,249474,482463,218396,1,1
100,0000000000,1240,628,898,375286,199146,490710,199316,485947,203691,376799,194192,0,1
101,2122011221,1352,625,1046,471195,290567,2520890,237502,1453329,261811,496704,214252,1,1
102,2122011221,1391,639,670,184428,133116,1059077,127333,610629,134829,216230,124056,1,1
103,1111111111,502,647,815,296887,205570,2439865,178943,1215304,224655,359634,163595,3,1
104,0000000000,590,648,984,348130,207469,358337,203709,506443,203891,359375,199562,0,1
105,0000000000,472,653,734,256966,151849,1793112,151579,945457,305238,296281,137708,0,1
106,2110202021,1270,659,1132,1007631,267453,466261,248530,1150267,265037,463057,236887,0,1
107,1111111000,419,661,645,180676,123332,626053,117685,725583,122242,214640,116956,9,1
108,0000000000,445,658,421,117412,77643,581258,79899,478234,85849,140411,74180,0,1
109,2110212021,1323,676,903,792524,210640,340748,192562,1023560,208639,371428,177906,2,1
110,2122011221,1397,673,1092,485250,356227,1938381,252963,1681084,256409,540659,221425,1,1
111,1111111111,490,673,546,196865,115111,1923091,112331,844412,158071,235083,105423,3,1
112,0000000000,523,672,660,248418,133457,1321522,139637,696423,156258,281833,136671,0,1
113,2110212021,1295,680,944,965583,211903,346914,204447,1138514,216221,377684,192495,2,1
114,2110212021,1359,682,791,594797,211005,303782,181719,917275,179922,308037,161389,2,1
115,1111111110,448,680,649,207510,138662,1535907,131152,857644,148688,256675,119639,10,1
116,0000000000,507,689,352,127516,72931,880789,71390,412381,89857,145563,69612,0,1
117,1111111111,481,693,630,236056,155551,1907485,126377,809792,228339,262442,125601,3,1
118,1111111100,536,700,835,291774,173190,1440704,176220,894118,194820,334015,164865,5,1
119,0000000000,455,697,248,77081,45080,752040,48987,285482,76700,98565,47470,0,1
120,2110212021,1336,709,918,654141,205847,318338,198781,1005477,213608,347782,180910,2,1
121,0000000000,1286,704,544,499961,129990,209359,124175,556471,154075,234775,113276,0,1
