cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_ID,rowsum
865,1101111100,1826,1341,1136,628591,255102,419363,325949,1176575,292703,412671,438942,31,1
866,0000000000,548,1336,667,227109,146848,571593,142903,594577,155204,233253,851303,0,1
867,0000000000,1240,1339,796,311034,181809,311671,184086,398277,192243,314032,185240,0,1
868,0000000000,1989,1340,744,425222,159097,228406,156307,836292,163288,259298,161585,0,1
869,0000000000,419,1342,807,429791,169057,461671,167842,652317,177179,260065,201996,0,1
870,0000000000,961,1343,721,286022,169738,295001,172715,400913,171646,295075,172342,0,1
871,0000000000,1680,1341,580,203175,133530,186738,127379,353147,140002,259400,145275,0,1
872,0000000000,586,1343,698,315702,152089,952911,152409,516479,161245,278397,197451,0,1
873,0000000000,742,1345,845,308536,197823,316996,198100,437713,197283,326200,205311,0,1
874,1111111110,2090,1344,722,376828,175388,241232,159440,721717,167497,284194,161483,5,1
875,0000000000,2113,1342,462,239709,110551,139617,99529,405205,101825,163283,99383,0,1
876,0000211220,1892,1351,1000,421833,231175,370052,230246,910851,234708,371458,233116,0,1
877,0000000000,2045,1339,198,132152,45788,73470,46814,184224,52092,81856,44905,0,1
878,0000000000,1401,1349,818,385016,192391,328480,192465,469754,189200,345577,196127,0,1
879,1111111200,1940,1354,661,440047,156043,248606,144381,673273,164515,257780,147986,38,1
880,0000000000,2029,1348,534,368480,117750,174020,119209,503153,131845,192836,116035,0,1
881,2111111111,611,1352,719,346891,165258,986759,163289,591547,171633,301259,255041,43,1
882,0000000000,707,1346,418,161640,99253,173672,98647,210682,98879,165387,102612,0,1
883,0000000000,528,1353,489,177591,102488,1506336,108821,690293,109740,196486,458262,0,1
884,0000000000,1757,1348,478,177424,100984,154768,118405,428051,235179,144617,111012,0,1
885,0000000000,506,1353,717,239664,165871,431281,150135,610598,159582,254720,936138,0,1
886,0000001112,656,1346,257,110523,64358,991995,54779,481518,65756,120508,60280,23,1
887,0000000000,636,1353,665,321033,151131,2011723,152411,1086034,172338,266681,171197,0,1
888,0000000000,1163,1357,747,311273,179013,312327,181251,394963,188168,315614,184892,0,1
889,1111111200,1961,1354,486,211479,103285,157237,105437,489366,114836,163555,106876,38,1
890,1101111000,2057,1361,845,574404,184453,270375,188248,956358,274088,301431,190589,17,1
891,0000000000,1132,1359,779,317377,183478,325763,185675,388675,188855,338201,180221,0,1
892,0000000000,1718,1355,720,284895,151194,226512,152453,568749,295649,242687,150648,0,1
893,0000000000,666,1361,667,316246,154659,1249892,153484,683596,172146,269586,164045,0,1
894,0000000000,1789,1351,163,69367,37676,51832,48808,225253,55561,55420,35027,0,1
895,0000000000,1858,1361,925,501710,199029,321965,244385,1004187,207659,337899,215518,0,1
896,0000000000,549,1359,505,162792,109234,306607,108391,389174,109301,174131,505364,0,1
897,1111111010,2000,1368,681,372354,147920,219794,145322,769934,147630,235775,149954,10,1
898,0000000000,1976,1366,407,224916,87205,129919,86746,399564,89370,131870,87199,0,1
899,0000000000,580,1370,887,360505,210906,388836,208079,739734,216949,360538,713584,0,1
900,0000000000,1687,1371,504,178289,102733,165707,109163,289436,124358,182035,110927,0,1
901,1111111110,418,1376,1630,1185927,506323,1228530,349524,1410524,435888,582604,362197,5,1
902,0000000000,1790,1370,835,314101,186285,291543,183349,646820,217797,283385,264045,0,1
903,0000000000,1759,1371,683,275725,156177,248222,156071,619600,546458,236729,156606,0,1
904,0000000000,1820,1375,740,331693,168949,286300,168615,683292,182528,278668,652992,0,1
905,1111111111,2089,1376,897,431716,208303,305134,204741,967249,211786,357488,210234,1,1
906,0000000000,2028,1374,633,333148,141764,204472,138251,702664,140365,231680,138000,0,1
