,cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_id,clust_label,umap_1,umap_2
4757,4758,2102212221,1797,2893,607,4819,253,2615028,12,455628,128,0,33805,21,6,5.706296,-5.1518354
4770,4771,2102212221,1850,2909,645,11198,14123,1756293,0,266513,180,136,162273,21,5,5.3765917,-2.685607
4776,4777,2102212221,1809,2914,383,599,0,536792,0,223632,0,4,37218,21,5,4.971522,-2.3424432
4777,4778,2102212221,1908,2921,759,4302,3479,1482497,30,355938,126,0,155852,21,5,5.286547,-2.5047333
4799,4800,100212021,3454,2934,490,55027,54,0,0,420561,50,0,63,4,0,1.4965289,2.437582
4800,4801,2102212221,1818,2935,426,1119,0,75460,0,128509,748,13660,210511,21,2,7.6920285,-3.0140357
4819,4820,2102212221,1899,2959,542,40850,691,1057506,0,205555,4713,417,342423,21,2,7.2161427,-2.9166367
4826,4827,2102212221,1859,2966,719,8927,0,478790,0,313490,86,44793,262669,21,2,7.0055943,-2.317165
4833,4834,100212021,3436,2973,624,62044,4755,0,0,275473,3492,0,0,4,0,2.4948275,2.5120447
4851,4852,2102212221,1980,2987,364,6658,188,342457,0,62392,62,0,5624,21,5,4.38487,-1.5990875
4854,4855,100212000,1962,2992,597,214047,0,41133,0,335796,128,0,48858,3,0,3.2772775,7.620997
4883,4884,100212000,1937,3022,479,172498,12,3645,0,283516,28474,0,125,3,0,2.9690373,7.426362
4891,4892,100212000,1918,3039,594,110141,0,53209,0,297548,37729,0,37894,3,0,2.7564006,5.562386
4896,4897,100212000,1941,3049,531,117828,17,0,0,271153,2085,0,112,3,0,3.4988196,5.917507
4903,4904,100212000,1930,3069,645,25066,5,4,0,257568,37766,0,616,3,1,2.6569514,2.0611045
5261,5262,1111211111,2753,4165,552,99451,0,0,0,101685,19,0,10033,15,0,3.869926,5.307419
