,cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_id,clust_label,umap_1,umap_2
1137,1138,122011221,2184,1069,787,41150,56595,0,31,962071,47,55977,60530,7,4,-4.255125,2.0730495
1142,1143,122212201,1964,1067,496,2217,69,1846808,0,305084,1106,485,4981,9,6,5.828191,-4.9561696
1146,1147,122212201,1882,1070,671,971,22,2495751,0,369607,66,575,0,9,6,5.8531203,-4.9542074
1153,1154,122011221,2455,1072,425,20744,4244,0,0,394855,0,0,0,7,4,-0.612287,1.4499937
1154,1155,122011221,2503,1071,440,8116,41856,0,0,737827,14,679,5577,7,4,-6.5702224,1.9741751
1158,1159,122212201,1943,1076,422,1612,115,1380792,0,221330,5869,0,0,9,6,5.4894433,-4.601113
1159,1160,122011221,2478,1075,582,58263,39829,0,0,920968,34,0,1311,7,4,-5.568451,2.2979276
1161,1162,122011221,2263,1076,531,15519,49262,0,0,568373,0,1445,0,7,4,-4.8483205,2.116927
1167,1168,122011221,2288,1077,387,3374,44,0,0,322872,0,378,643,7,4,-0.02216251,0.63274664
1168,1169,122011221,2369,1079,593,25056,3111,0,1062,579477,2,0,0,7,4,-0.6688006,1.2823652
1171,1172,122212201,1851,1086,886,15362,28,3135629,0,501608,0,516,113,9,6,5.7057056,-4.7127604
1177,1178,122011221,2421,1085,575,22842,27594,0,4605,465521,0,0,317,7,4,-2.1856625,1.6145164
1189,1190,122212201,1958,1086,272,30441,0,592443,0,167798,0,0,29053,9,5,4.3179846,-2.1669235
1190,1191,122011221,2442,1090,507,23645,32158,0,0,618040,19,0,0,7,4,-4.071299,2.1183102
1199,1200,2120212020,2223,1097,1119,9978,566,1033,0,547219,2,3479056,3511,24,4,0.4408788,0.35217783
1200,1201,122011221,2335,1096,975,8391,1294,0,0,680826,0,598,52,7,4,0.036328584,0.68083453
1203,1204,122212201,1920,1099,939,13964,146,2731863,0,513111,12,105,57,9,6,5.374564,-4.186772
1206,1207,122212201,1897,1091,239,90,0,903478,0,132654,0,3,0,9,6,5.8603373,-5.0204315
1207,1208,122011221,2499,1093,477,7337,49518,0,0,1221272,2,0,14496,7,4,-7.5799203,2.1058586
1210,1211,122011221,2273,1093,404,3940,394,0,0,425156,4,4061,0,7,4,-0.65200377,0.66220593
1212,1213,122011221,2466,1095,377,27919,65405,0,0,708048,21,5,0,7,4,-7.8801146,2.1694355
1220,1221,2120212020,1974,1096,286,42329,35,78551,0,161594,0,42,275029,24,2,8.546467,-3.570447
1221,1222,2120212020,2176,1106,850,3712,0,18,0,394943,8,2583695,5693,24,4,0.42567423,0.3636948
1229,1230,122011221,2376,1103,579,48810,7155,0,82386,536429,0,66472,259,7,8,2.4147115,3.7901223
1232,1233,122212201,1885,1106,576,11224,69,1815305,0,376674,6,107,0,9,6,5.456034,-4.36401
1234,1235,122011221,2251,1105,472,23293,10607,0,0,399049,0,8426,42807,7,4,-0.54038006,0.27235755
1235,1236,122011221,2404,1106,670,19213,337,0,194850,268216,17,119378,4123,7,8,2.34785,3.802106
1239,1240,122011221,2538,1108,581,2862,61147,0,0,721202,1,309,5963,7,4,-5.489231,2.05768
1256,1257,122212201,1842,1116,583,58793,0,1595668,0,337804,0,28,185,9,5,4.385712,-2.5512762
1257,1258,122011221,2278,1112,618,13586,0,0,0,572223,13,32158,0,7,4,-0.112564385,0.5181352
1259,1260,122212201,1864,1116,652,84612,27,1454352,0,429058,0,23,0,9,5,4.2506237,-2.1655056
1261,1262,122011221,2431,1113,515,27134,59168,0,4,607109,0,0,0,7,4,-5.957182,2.0934756
1268,1269,122011221,2454,1122,814,82976,56918,0,0,993997,10,0,0,7,4,-3.5438418,2.5044537
1276,1277,122011221,2495,1119,594,66838,46294,0,0,1358443,212,22,5298,7,4,-6.8804975,2.3103433
1307,1308,122011221,2299,1127,442,2403,0,0,0,186572,0,29,0,7,1,2.748702,0.23892726
1313,1314,122011221,2375,1129,636,26551,33781,0,464,933310,20,265,0,7,4,-4.2498956,2.108932
1315,1316,2120212020,2160,1130,349,16310,0,0,0,289553,53,747622,199,24,4,0.38080323,0.38648695
1316,1317,122011221,2260,1127,248,10650,16,0,0,166390,0,0,570,7,1,1.5937527,0.8283126
1317,1318,122011221,2480,1133,548,91625,43542,0,0,972948,0,0,23,7,4,-6.2437544,2.5739758
1318,1319,122011221,2527,1134,616,45014,84559,0,0,899685,8,0,4185,7,4,-7.019965,2.2317147
1324,1325,122011221,2413,1134,583,9584,32832,0,0,802641,69,124,16,7,4,-4.340438,2.0294356
1334,1335,2120212020,1886,1135,654,121157,7949,128357,0,568712,44,141,8,24,0,1.5375764,3.1441693
1345,1346,122212201,1830,1138,426,77759,150,933585,70,291769,199,35,54309,9,5,4.170956,-1.8812339
1353,1354,2120212020,1961,1143,682,97306,30,292125,9,464251,5520,0,6748,24,0,2.4626813,2.6382349
1364,1365,202012000,2562,1149,571,21259,452,0,0,354526,5156,0,128746,10,2,6.407926,-1.0352836
1369,1370,122011221,2504,1147,478,14317,90761,0,0,830637,0,0,250,7,4,-7.868461,2.128531
1376,1377,122011221,2390,1148,505,70215,26,0,0,246780,0,0,0,7,0,3.0760891,3.2674496
1377,1378,2120212020,1932,1154,855,105814,430,454,0,345442,8562,3975,192,24,0,2.9766996,3.3792157
1394,1395,122212201,1795,1159,574,16487,577,867241,1,577517,15163,83,339051,9,2,7.168727,-2.9051995
1398,1399,2120212020,1889,1164,837,135691,170,22086,0,920914,984,18,118,24,0,1.3954073,2.995527
1399,1400,122011221,2445,1160,506,36630,29165,0,0,1007986,0,0,170,7,4,-5.936341,2.1046872
1403,1404,122011221,2417,1158,357,18455,35088,0,0,542994,31,46,0,7,4,-6.1250596,2.0081484
1426,1427,2120212020,1963,1172,779,79954,0,951,0,236957,0,5501,6,24,3,3.6406078,2.1981924
1428,1429,202012000,2599,1172,837,0,0,0,0,187906,11046,0,372387,10,2,7.629615,-2.9587257
1437,1438,122212201,1696,1174,373,42761,0,0,0,64553,6,0,5086,9,3,3.8951745,2.4699306
1440,1441,122212201,1853,1173,350,94475,0,207307,0,1596814,0,560,0,9,4,-8.384307,2.263534
1444,1445,122011221,2403,1174,354,16833,7045,0,10,147257,30,0,58,7,1,1.5729591,0.89656645
1447,1448,2120212020,1915,1184,958,148697,27737,941,28,311465,817,0,138,24,0,3.0915122,4.4036694
1473,1474,122011221,2016,1184,391,54763,48050,0,0,484536,0,13,1029,7,4,-6.292634,2.5845382
1486,1487,122011221,2415,1189,396,18849,25978,0,24,882854,78,10,119,7,4,-6.814491,2.0659556
1496,1497,202012000,2575,1195,695,12916,1050,0,33,337535,30924,0,190736,10,2,6.801909,-1.2668688
1536,1537,2120212020,1878,1207,416,132843,88573,412,0,374477,0,0,0,24,4,-8.515586,2.4577003
1539,1540,2120212020,1903,1210,632,158179,138680,101,0,374554,2726,0,0,24,4,-8.501761,2.45569
1562,1563,202012000,2555,1217,686,6255,1917,0,0,292980,10211,0,41071,10,1,2.9038951,1.0317426
1571,1572,202012000,2594,1223,843,24293,699,0,0,327833,3,0,361798,10,2,7.5618615,-2.5760117
1589,1590,1111112111,507,1226,538,828,89,826795,54,84319,1439,9,887,13,5,4.4980035,-2.4208333
1597,1598,122011221,1988,1229,706,79875,32218,8,0,870825,28,0,14,7,4,-3.009048,2.4846218
1641,1642,202012000,2578,1242,482,13221,0,0,0,136075,812,0,132866,10,2,6.847315,-1.5776695
1672,1673,2010011221,908,1250,399,51731,0,0,0,63293,373,0,10506,18,3,3.8543947,2.6285484
1697,1698,202012000,2620,1258,689,15041,790,0,0,328567,12111,0,182411,10,2,6.773432,-1.2856886
1770,1771,22211201,2564,1280,362,41399,34772,0,0,634473,0,0,4,2,4,-6.397591,2.426417
1800,1801,1111112111,663,1285,274,14826,807,0,0,31211,0,0,7377,13,1,3.9835715,0.24806574
1844,1845,2001212001,1706,1302,575,79638,24094,7904,11,252778,5639,0,39,17,0,1.6529298,2.7980313
1872,1873,2001212001,1734,1309,792,31298,0,454209,0,175464,2675,8,9,17,1,3.9437988,-0.83835566
1873,1874,2120212020,1871,1303,383,129818,26,1936,0,227022,3732,0,43,24,0,3.305638,7.607163
1937,1938,122011221,1948,1334,863,172935,5561,0,0,1551679,14955,137,0,7,4,-2.8472502,2.7151377
1940,1941,22211201,2578,1324,439,26592,79203,0,0,1151274,0,0,0,2,4,-8.039441,2.0368114
1986,1987,22211201,2643,1341,607,80401,23851,0,0,791486,0,0,7931,2,4,-2.9799883,2.539679
2003,2004,22211201,2614,1347,702,23844,153934,0,0,1619714,0,0,0,2,4,-8.093659,2.0239248
