,cell_id,Barcode,ChAT,fru,Gad1,SerT,sNPF,tbh,Ple,VGlut,x,y,umap_1,umap_2,clust_label,clone_id
485,1477,1101111121,36229,5904,0,353,289224,115,0,16872,1221.6,1805.6,2.4886644,0.35594863,2,10
491,1499,2212211101,1493,0,0,0,360058,38,0,113540,1230.3,1642.9,8.681738,-3.9488628,0,18
498,1516,1101111121,18587,111,0,318,400341,2274,0,105,1234.0,1827.0,2.8369887,-0.31585133,2,10
499,1520,2212211101,41645,49,0,106,417022,1185,0,41754,1236.3,1756.9,2.4904091,0.24928662,2,18
505,1535,2212211101,1156,21,0,214,383360,305,0,276911,1245.6,1693.3,9.3213415,-2.502173,0,18
508,1540,2202211201,172849,19142,174,120,317749,21865,0,60499,1247.4,941.65,-1.4359615,1.0775759,1,14
509,1545,2212211101,78893,1009,0,216,660098,298,0,9844,1249.4,1726.9,0.74592274,-1.5265733,4,18
513,1553,2212211101,29973,1214,73,385,204534,163,0,12499,1252.2,1616.2,2.927604,1.1354088,2,18
524,1593,22211201,178291,594,0,156,250369,257,0,66,1265.0,1076.8,-1.2074707,2.048607,1,17
528,1601,2212211101,5082,0,0,145,427155,1063,169,108665,1269.1,1704.3,8.586969,-3.830533,0,18
531,1608,2212211101,12870,898,22,136,203893,444,3645,147646,1270.5,1647.3,8.836826,-3.7576385,0,18
535,1618,2212211101,69744,39,0,213,502498,734,0,12615,1276.3,1605.4,0.925965,-0.86565894,4,18
538,1634,2212211101,74390,323,0,131,1083683,61,38,81449,1281.4,1724.1,-1.2196969,-3.6182578,4,18
539,1638,2212211101,25886,0,0,41,334080,114,0,153464,1282.3,1688.5,8.765225,-3.70252,0,18
540,1641,2212211101,43813,123,0,304,379788,149,63310,2869,1286.2,1635.3,2.6825106,0.0745425,2,18
541,1642,1101111121,6588,460,0,47,238461,50,17034,83406,1279.4,1754.5,8.495264,-3.9807618,0,10
546,1656,1111201000,42793,1064,2396641,215,763638,8867,937,4299,1289.4,515.78,4.376769,-5.2774057,5,1
547,1661,2202211201,353266,7346,197,92,448723,3387,24,27138,1292.9,1093.4,-3.2561858,1.5916561,1,14
549,1667,2001212001,83772,3144,242066,60,584593,14589,0,2251,1294.4,582.28,0.6618237,-0.77920955,4,12
555,1690,2212211101,78927,5,0,412,1105930,2980,0,2710,1304.9,1592.7,-1.170805,-3.4612331,4,18
557,1693,2212211101,106414,56,0,7150,446992,2350,0,5138,1301.8,1568.5,0.1667833,1.198631,1,18
568,1731,1101111121,24425,7828,0,73,234498,48,0,14,1309.2,1818.3,2.6290889,0.41277778,2,10
573,1746,2202211201,23328,1188,32,0,128712,105,0,26,1312.3,790.88,2.9849827,1.187008,2,14
575,1758,2202211201,333569,9021,590,94,516025,2039,0,458498,1325.8,1068.9,-2.2991092,1.5351824,1,14
577,1762,120001000,114608,394,16444,192,616531,37082,114,33187,1324.3,573.11,-1.3583583,0.60593796,1,7
586,1789,2212211101,90292,187,0,353,561775,80,0,127,1330.1,1585.8,0.64887005,-0.7640592,4,18
589,1799,1101111121,71317,47,283201,174,276477,1243,0,80,1332.2,1822.7,2.3471196,0.98784167,2,10
601,1835,2110212001,147987,125,0,271,596353,802,27,21638,1346.6,1730.2,-0.9042492,0.89197886,1,11
605,1848,120001000,168016,7,151701,54,520981,17151,0,36108,1351.9,552.56,-1.3456446,0.9103578,1,7
606,1849,2212211101,81927,62,0,692,679033,8200,0,228789,1350.6,1613.1,8.397696,-3.0631614,0,18
608,1854,2212211101,34218,0,0,52,1159939,231,0,24469,1353.5,1688.0,-1.4565544,-3.3922222,4,18
612,1864,2212211101,178683,298,151,2674,564903,3679,128,16750,1356.7,1577.4,-1.4017762,1.1159698,1,18
617,1896,2202211201,53122,6554,123,141,219632,8562,3773,93374,1367.5,641.57,8.087246,-3.0548859,0,14
621,1911,2202211201,170308,288,41,101,203582,184,0,306,1370.9,722.89,-1.0907294,2.0259128,1,14
623,1924,2202211201,156723,18,20,19,322748,561,0,49,1373.7,748.43,-0.9907014,1.9870322,1,14
625,1926,2212211101,58053,7241,0,4158,666012,583,0,159,1375.8,1562.6,0.63832116,-2.102048,4,18
630,1945,2202211201,154904,15,30,0,212340,1341,0,5704,1382.0,682.35,-0.8662983,2.0989633,1,14
633,1952,2212211101,235832,671,0,16144,443016,775,0,33901,1390.4,1494.8,-2.1964872,2.2584665,1,18
637,1965,2202211201,203683,11904,0,1329,727642,608,0,9803,1387.0,1129.2,-1.6903468,0.57922935,-1,14
638,1966,2212211101,142635,295,0,15335,399925,1465,0,834,1388.4,1542.9,-1.0555884,1.9375898,1,18
639,1971,2202211201,314084,108,469,106,477890,48654,37,6495,1390.5,576.4,-3.0864995,1.4136645,1,14
642,1985,2212211101,169411,15,51,267371,460186,7306,0,164557,1394.9,1630.3,-2.044643,3.034372,1,18
646,1996,2202211201,100582,9,189,50,321563,11363,0,9533,1403.5,594.83,0.43488413,1.6056353,1,14
649,2002,2202211201,65826,7,25,98,325782,6462,1657,33866,1401.7,619.75,1.6762766,1.0260336,1,14
652,2015,2110212001,75810,9386,697,332,448696,5999,0,332,1402.0,1810.5,0.66749185,-0.74215233,4,11
655,2023,2212211101,177999,218903,47,18477,576429,1553,0,78095,1409.0,1464.5,-5.152701,-1.6321867,3,18
656,2025,2202211201,96000,41,43679,0,224579,5931,0,166,1407.0,534.05,0.5755383,1.9078069,1,14
658,2032,2110212001,69575,27,298,104,350982,297,0,4611,1409.5,1752.9,1.3821293,1.3102863,1,11
659,2033,2110212001,162565,23768,242,93,535348,1576,0,634,1410.2,1782.2,-1.2611538,0.40849286,1,11
662,2049,2212211101,257679,11222,122,75936,440477,7968,13,14420,1419.1,1528.1,-1.948693,2.6802616,1,18
664,2063,2110212001,24998,2652,3875,613,331289,660,0,974,1420.1,1915.8,2.6634638,0.20504436,2,11
666,2067,2110212001,96492,5656,0,36,528398,1460,0,4271,1422.2,1728.0,0.46599415,-0.56769055,4,11
668,2079,2212211101,158183,7769,77,60981,366174,329,282,18984,1426.5,1507.9,-1.8793348,2.7715814,1,18
669,2080,2110212001,235702,244,13891,302,262955,230,61,68608,1420.2,1653.4,-1.8394464,2.0541549,1,11
670,2082,2110212001,56264,508,120,92,649965,5063,0,120,1428.2,1836.6,0.7741201,-1.6813786,4,11
673,2106,2110111111,155142,11291,19885,192,295641,133,0,12055,1430.7,1953.5,-0.92166966,1.556407,1,13
679,2129,2202211201,105454,0,83348,0,171437,572,10,170,1442.4,584.7,0.5937758,1.9603981,1,14
681,2138,2110212001,306083,193,1822,199,641688,63073,0,4903,1450.1,1758.8,-3.0882819,1.3411595,1,11
683,2146,2110212001,258418,16499,54,64,377987,212,0,169,1450.6,1813.4,-2.7183397,1.858458,1,11
689,2162,2110111111,17307,2542,35225,46,429093,8034,0,91,1444.8,1914.7,2.9003031,-0.40039963,2,13
696,2178,2111111111,42349,1255,1085702,304,172863,6552,0,601,1458.5,536.22,5.0969667,-3.2285242,6,5
698,2180,2110212001,76285,115,0,0,218385,77,0,314,1452.8,1830.2,1.5911407,1.5920886,1,11
701,2187,2212211101,49537,46,131188,37300,198033,381,0,17652,1457.3,1519.2,1.0908657,1.6651046,1,18
702,2188,2202211201,96639,99,409,5194,348704,32118,339,298539,1462.9,682.27,8.772873,-2.5818853,0,14
704,2195,2110212001,73593,84,74,16459,333240,589,0,30235,1468.1,1606.4,0.96413225,1.4797168,1,11
706,2204,2212211101,78132,1533,2,122,230287,976,0,80,1466.5,1702.2,1.4851637,1.5214404,1,18
707,2206,2202211201,15364,94,131540,98,69305,145,0,91,1460.0,584.58,3.0376227,1.1181227,2,14
713,2229,2202211201,112474,6637,19,116,222306,4030,2,28501,1472.5,649.59,0.25611663,1.6598512,1,14
722,2247,2110111111,21279,4981,239,148,231622,419,0,207268,1477.7,1917.4,8.963812,-3.4874127,0,13
725,2254,2110212001,298657,340,328452,41327,497442,5490,98,486,1487.1,1550.2,-2.1793919,2.5493383,1,11
726,2255,2110212001,161874,3762,6230,67,430509,23201,0,13633,1485.9,1755.3,-1.4517668,1.0460808,1,11
729,2263,2110111111,162958,43,2582,97,346871,7745,385,2568,1485.8,1885.1,-1.1085104,1.8546667,1,13
730,2264,2202211201,76269,641,0,5763,267370,5134,0,168769,1487.1,695.35,8.208838,-3.0352454,0,14
733,2269,2110212001,160044,1335,2377509,58979,678145,3087,0,577,1493.8,1518.1,4.520705,-4.9786057,5,11
734,2271,2212211101,50576,190,0,46,413504,14348,0,1407,1488.0,1717.8,1.0224878,-0.5067645,4,18
736,2279,2110212001,181018,99,364,19488,296186,185,0,200,1495.4,1577.3,-1.6463556,2.3245842,1,11
738,2292,2110111111,73720,20,82,28,258969,2946,0,6596,1497.6,1911.5,1.4417493,1.4492877,1,13
740,2303,2202211201,112300,226,110,124,412449,9020,34,255579,1506.0,672.69,8.453911,-2.9521039,0,14
746,2327,2212211101,115386,17891,0,0,743184,21217,0,361,1514.4,1724.2,-1.1753802,0.43408632,1,18
752,2343,2110212001,277163,94,800,7397,646397,504,0,206,1524.3,1548.5,-2.8230245,1.8253723,1,11
755,2359,2212211101,164641,189697,4,583,836861,974,0,353,1531.0,1706.5,-5.09711,-1.6142517,3,18
760,2368,2212211101,62862,22,0,256,613765,534,4705,169222,1537.9,1660.7,8.329857,-3.3604815,0,18
761,2370,2202211201,66,13443,39,319413,883076,1082,104,326240,1539.4,1099.2,-2.00658,3.023115,1,14
763,2373,2212211101,187936,471,25,4228,475271,1845,0,136488,1540.7,1570.3,-1.1490897,1.2788491,1,18
767,2382,2212211101,262603,1155,33,25027,494759,5462,9,111416,1548.6,1598.1,-2.2640862,2.307149,1,18
769,2395,2222211021,109,1631,1093001,691,359166,1923,0,51738,1551.9,319.35,5.1981583,-3.3836446,6,19
772,2402,2222211021,20440,2521,297572,115,457614,903,8,322926,1555.4,348.57,9.275848,-2.428843,0,19
774,2412,2110111111,159908,4,434,105,1064270,193904,9862,64575,1559.0,1752.4,-2.770575,1.0542421,1,13
777,2422,2212211101,118876,9,0,235,373523,1641,0,25523,1562.3,1651.9,0.14090092,1.4812186,1,18
779,2426,2110111111,15318,3253,0,0,199619,6941,0,2,1559.5,1998.8,2.854766,1.0513841,2,13
780,2427,2000001000,78526,0,24,44,276085,88,0,72,1567.2,561.87,1.3868451,1.4579961,1,4
783,2431,2111111111,18990,43,119474,48,312384,1889,499,395722,1562.1,1881.2,9.640463,-2.0622976,0,5
784,2433,2111111111,18874,493,0,19,880441,6905,0,0,1565.3,1977.8,0.28383806,-3.1853619,4,5
787,2444,1111201000,174779,376,84251,51554,500765,2417,0,60754,1572.7,1182.8,-1.8641162,2.712762,1,1
789,2446,2222211021,1688,7,980650,420,306844,7736,590,146164,1573.5,310.07,5.5190477,-3.2984457,6,19
793,2451,2222211021,50823,87,231502,12,451623,2751,34,857397,1579.1,277.72,10.367368,-1.7699907,0,19
798,2461,2212211101,109017,121,85,115,354576,2303,0,41583,1582.4,1667.9,0.3369965,1.5195925,1,18
799,2462,1111201000,138318,1308,71782,783,325044,1437,0,41908,1586.6,1205.7,0.033402383,1.5979086,1,1
801,2467,2110111111,59019,0,0,28,163275,221,0,37,1578.0,2023.7,1.8424122,1.5777254,1,13
804,2474,2000001000,238982,318,114,18,157876,55,0,119,1587.9,433.8,-1.7690232,2.0343235,1,4
805,2482,2110111111,17273,20572,82,272,691359,579365,410037,646246,1594.9,1761.1,-2.7997057,1.0759002,1,13
806,2483,2110111111,36505,2,0,65,119424,47,0,0,1588.6,2038.5,2.6721435,1.2940807,2,13
807,2485,2222211021,3520,174,29482,5,149555,131,0,259684,1593.2,322.32,9.22729,-3.3152103,0,19
810,2495,2222211021,50134,105,62,17,176864,132,0,251757,1599.2,385.16,9.07105,-3.4539406,0,19
813,2500,2222211021,19991,13,110776,40,316138,3815,0,392896,1605.2,261.15,9.618598,-2.0717816,0,19
814,2502,2212211101,114893,1390,232,1810,716790,25224,51,2182,1605.9,1660.0,-1.2208846,0.5423474,1,18
819,2521,2222211021,11361,15467,211745,124,317484,228,0,697622,1620.4,308.79,10.390635,-1.7212181,0,19
821,2524,1111201000,56536,1181,0,94,967974,666,0,69,1623.6,1328.0,-0.68926036,-3.4745278,4,1
823,2528,2110111111,123297,130,20,200,520807,264,0,169,1625.6,1698.3,-0.52310574,1.0545174,1,13
824,2529,2222211021,1184,5251,894811,30,281959,4066,0,21338,1625.2,242.02,5.2118444,-3.291741,6,19
825,2530,2222211021,11275,4301,200791,72,326378,110,7164,494081,1626.2,382.55,10.018409,-1.7897118,0,19
826,2531,2110111111,483921,4282,340,807,647687,31545,107,197661,1632.5,1505.6,-3.1351237,1.3649814,1,13
827,2532,2110111111,139510,1714,506,561,656965,14288,14739,104165,1626.9,1750.7,-1.1682811,0.6359155,1,13
832,2542,2222211021,33875,0,35850,105,305446,404,0,558295,1637.5,278.18,10.167784,-1.7826198,0,19
833,2543,2222211021,40074,257,34147,0,302287,7432,0,325447,1635.1,336.2,9.439314,-2.2831855,0,19
836,2546,2110111111,158736,469,2850,742,619103,984,747982,681,1639.6,1721.9,1.203963,-2.0320673,4,13
839,2554,2111111111,122230,4,98305,477,541808,14891,0,759,1643.3,1671.6,-0.8941736,0.58642876,1,5
841,2560,2222211021,50,789,699669,20,299753,1929,0,235758,1646.3,313.26,5.946611,-3.1203759,7,19
842,2561,2222211021,22079,61,647906,11,275545,2521,0,43617,1648.0,222.09,5.3395824,-2.9159706,6,19
844,2565,2222211021,55885,2954,876,158,277490,7788,18131,384429,1655.9,402.02,9.676266,-1.9596025,0,19
845,2570,2222211021,89061,418,39,158,318060,4366,0,688319,1663.4,461.56,10.242944,-1.7271432,0,19
851,2583,2222211021,47839,1027,81327,76,229599,8,0,208199,1667.8,224.81,8.9199295,-3.4146755,0,19
855,2590,2222211021,125389,1559,1373,140,349194,141,207,239791,1680.4,409.94,8.240017,-2.9906359,0,19
856,2591,2222211021,46124,0,283148,0,292350,541,0,246071,1682.0,240.64,8.963257,-3.5186815,0,19
859,2598,1111201000,55061,7136,1015784,544,1121556,736,0,2947,1685.9,1843.5,4.440105,-4.121969,4,1
862,2608,2110111111,180094,83,5360,203,266935,243078,0,173,1693.2,1627.2,-2.833214,1.1189383,1,13
865,2611,2110111111,321,109,241105,338,274672,107,29037,41505,1695.2,1742.4,3.2963204,-0.15220907,2,13
866,2615,2222211021,1231,240,14965,21,218405,1930,0,373950,1703.3,338.28,9.777639,-2.2035022,0,19
868,2620,2222211021,33224,268,528303,168,253105,92,0,79296,1705.8,253.48,5.4723024,-2.9249656,6,19
869,2623,2222211021,28388,3948,186231,80,181984,2656,3,379912,1707.6,424.57,9.624427,-2.0692968,0,19
872,2628,2222211021,48049,116,75356,124,216529,8394,3197,453876,1709.9,313.71,9.819142,-1.8755825,0,19
873,2630,2222211021,42951,3,617614,44,214102,149,0,168080,1709.9,396.23,5.7972746,-2.996614,7,19
876,2633,2222211021,57195,82,411383,192,285170,5815,11,173731,1710.5,229.53,8.227796,-3.73416,0,19
879,2636,2111111111,379858,927,361696,4765,620909,3233,185,894398,1718.5,1680.9,9.915138,-1.8261254,0,5
880,2641,2110111111,127744,90,139278,1230,217720,252,0,2419,1722.0,1706.6,0.03191424,1.9939941,1,13
882,2646,2222211021,2236,68,2746915,195,380001,6400,49,199426,1733.0,329.6,4.2772455,-5.3664017,5,19
884,2659,2222211021,0,7270,1272528,139,273732,331,144,65264,1735.0,397.84,5.254894,-3.5197008,6,19
885,2660,2222211021,32728,0,235542,39,466863,185,0,752033,1743.2,301.17,10.365741,-1.7572018,0,19
887,2664,2222211021,322552,10203,116252,83,514652,4319,0,153365,1741.3,209.61,-2.9565923,1.6597084,1,19
891,2673,2110111111,345790,1404,51,849,509495,7115,0,5312,1757.2,1598.4,-3.2066376,1.5390041,1,13
892,2674,2222211021,158,215,1076477,254,363573,5705,0,174031,1755.7,366.3,5.5570107,-3.2660599,6,19
893,2676,2222211021,563,387,935380,313,189845,617,0,7030,1758.2,432.05,5.160654,-3.1795654,6,19
895,2682,2222211021,285,6568,1546303,1,351128,99,0,14688,1762.6,328.35,4.806876,-4.601683,5,19
897,2685,2000001000,683942,104829,383495,4541,1051653,18870,95,7745,1769.1,215.83,-3.3874614,0.4145974,1,4
903,2698,2222211021,142,208,1699310,132,267641,706,13,5621,1782.3,416.25,4.8418503,-4.6789846,5,19
905,2703,2222211021,6297,311,1898702,14,354428,90,343,16823,1788.0,383.9,4.771543,-4.8312407,5,19
907,2706,2222211021,845,1825,609456,349,185884,11465,0,31820,1793.2,338.67,5.3161983,-3.0214121,6,19
908,2708,2222211021,0,0,647828,0,159403,298,0,200782,1794.0,439.91,5.91194,-3.1032562,7,19
913,2724,2222211021,10323,9,33702,15,128278,25,0,206914,1815.5,357.35,9.145252,-3.5574386,0,19
914,2725,2222211021,55770,61,1582612,86,364357,12749,31,524335,1814.5,408.37,5.9850082,-3.1889257,7,19
919,2733,2222211021,38011,5527,32312,55,231517,8812,0,203022,1816.0,382.4,8.908397,-3.3487604,0,19
925,2756,1121011201,203875,265,21,423895,275529,1197,0,4111,1843.7,1743.9,-1.9958789,2.9712813,1,6
928,2765,1121011201,87972,891,0,20597,134999,14500,0,128,1853.7,1769.6,0.6544518,1.7891225,1,6
930,2775,2000001000,59508,130,39940,56,222404,401,0,37966,1880.3,338.62,2.2142305,1.3216991,1,4
932,2781,1121011201,65098,73,0,129,361279,66,1883,62692,1877.2,1640.6,2.099482,0.6185753,2,6
934,2784,2222211021,22559,0,2719,4,228078,90,0,100601,1884.0,363.74,8.557802,-3.892724,0,19
937,2793,1121011201,85054,2656,0,983,1388563,504,102,717,1899.9,1646.7,-2.2629492,-2.987124,4,6
940,2798,2222211021,7539,5392,926416,76,267357,312,0,374390,1934.8,429.8,6.057178,-3.1502175,7,19
942,2800,1121011201,151136,10619,1072,301,482908,1274,230,218,1938.9,1626.8,-1.0347527,0.91073364,1,6
944,2803,1121011201,138247,11230,3,177,364664,4252,0,40600,1950.4,1312.8,-0.68916976,1.2050431,1,6
946,2805,2222211021,206425,5074,1236880,97,379582,53,0,17769,1953.8,510.39,4.8780503,-2.9477925,6,19
948,2807,2222211021,4222,2672,1269169,168,384051,211,0,188588,1963.6,473.79,5.4727845,-3.3610811,6,19
950,2811,2222211021,2737,46,284327,106,167602,186,14866,387558,1962.8,428.58,9.604149,-2.095973,0,19
952,2816,2222211021,0,2063,1805061,120,290129,539,7,106071,1977.7,447.73,4.773645,-4.6805344,5,19
962,2841,2222211021,0,6133,80064,111,258133,221,0,688711,2005.2,468.7,10.364015,-1.794649,0,19
968,2860,1121011201,132398,54,178,313,190121,327,0,49386,2028.7,1161.3,0.22048251,1.8117304,1,6
