,cell_id,Barcode,ChAT,fru,Gad1,SerT,sNPF,tbh,Ple,VGlut,x,y,umap_1,umap_2,clust_label,clone_id
61,241,122011221,32342,9059,17,101,249750,112,0,800,437.32,1415.2,2.4876633,0.36002728,2,20
65,250,2200211200,235754,133,592,331,331636,1336,288,2333,448.85,1181.4,-2.1097877,2.0417624,1,9
66,251,2120212020,54791,5400,502,156,423060,6131,0,1082,447.08,1259.2,0.8787844,-0.76930267,4,15
67,252,2200211200,106948,246,555,225,4024643,191,13930,5489,451.09,1325.1,-5.439673,-1.6719825,3,9
68,253,2010012221,35108,8,13263,171,489151,3507,108,319409,457.17,1096.1,9.296882,-2.3899512,0,3
69,255,122011221,150326,3225,30,101,540119,1327,0,1008,454.94,1395.0,-0.96493673,0.9547325,1,20
70,259,2120212020,95477,56,236,212,398044,3031,27,5724,462.96,1359.9,0.39536288,1.2696695,1,15
71,260,122011221,40065,6124,338,1557,574598,1728,0,768,463.25,1423.9,0.93408823,-1.8413395,4,20
75,270,2200211200,133656,17796,5951,16783,592357,27741,24152,5930,479.8,1194.7,-1.3299519,0.62585133,1,9
77,273,122011221,100390,1184,157,618,369144,10534,24,793,479.23,1378.7,0.32199872,1.3475281,1,20
78,276,122011221,30869,6821,317,146,391080,313,0,202,477.82,1471.2,2.606542,-0.21466838,2,20
81,280,122011221,52441,15967,24,75,369313,426,17,305,483.9,1446.8,1.010553,-1.1409107,4,20
85,288,122011221,70448,86723,0,9,845164,264,386,238,493.39,1498.1,-3.5286074,-2.3004267,3,20
86,293,122011221,65711,8944,111,426,1212024,4151,508,381,502.17,1470.8,-2.083574,-3.1367135,4,20
87,297,2120212020,50443,54,0,243,441643,706,0,233586,516.94,1298.2,8.804782,-3.2847905,0,15
89,301,122011221,30939,59495,1311,212,1120167,392,3563,2803,514.52,1515.5,-3.4560726,-2.5032008,3,20
90,303,122011221,65629,11454,0,209,836950,388,0,474,519.15,1451.3,-0.7568464,-3.5668457,4,20
91,304,122011221,26857,18136,81,119,504512,546,309,188,516.34,1493.7,1.0347314,-2.604273,4,20
92,308,122011221,55078,2869,30,291,733048,17266,0,72513,522.0,1425.9,0.673256,-3.194803,4,20
93,316,122011221,19676,1024,0,143,532629,776,74,1419,530.71,1467.6,1.9910115,-2.1525106,4,20
95,320,122011221,38929,11804,75,50,880704,1299,17,149,542.84,1496.7,-0.7369254,-3.4622967,4,20
96,322,122011221,7099,5257,4,57,534331,1428,0,180,542.89,1476.4,1.8572695,-2.293067,4,20
98,324,122011221,40557,432,333,42,684449,601,0,77964,545.09,1436.7,1.0664595,-2.9440234,4,20
99,326,2120212020,91793,114,742,268,302764,14083,27,154704,546.12,1323.4,8.252087,-2.964609,0,15
101,328,122011221,72486,63592,147,325,1201420,587,1452,5646,552.34,1521.5,-3.8387287,-2.1379452,3,20
102,331,122011221,17215,37294,0,211,688713,206,352,1228,556.11,1552.0,-1.3296809,-3.3667545,4,20
103,332,122011221,49645,65,0,147,874788,352,0,19491,558.71,1452.3,-0.047261383,-3.2953482,4,20
104,339,122212201,14077,435,2889577,678,655409,2811,1908,111064,564.69,1086.7,4.178633,-5.3168426,5,16
105,342,122011221,17691,29,13,46,602556,246,994,177,564.83,1481.0,1.7931685,-2.2767453,4,20
106,343,122011221,68040,4092,0,228,757285,27634,22,135719,563.51,1406.1,0.7854601,-3.3333042,4,20
