cell_id	Barcode	ChAT	fru	Gad1	SerT	sNPF	tbh	Ple	VGlut	x	y	umap_1	umap_2	clust_label
288	122011221	70448	86723	0	9	845164	264	386	238	493.39	1498.1	5.072217	-2.0053542	9
293	122011221	65711	8944	111	426	1212024	4151	508	381	502.17	1470.8	3.5731835	-1.1096697	13
297	2120212020	50443	54	0	243	441643	706	0	233586	516.94	1298.2	-3.1451907	2.5068233	2
300	122011221	109425	40076	162	1369	648701	20178	247	14977	516.96	1400.7	3.3142126	1.3044935	-1
301	122011221	30939	59495	1311	212	1120167	392	3563	2803	514.52	1515.5	4.7807426	-1.9553026	9
303	122011221	65629	11454	0	209	836950	388	0	474	519.15	1451.3	2.5778096	-0.37207967	13
304	122011221	26857	18136	81	119	504512	546	309	188	516.34	1493.7	1.2967107	7.324845	12
308	122011221	55078	2869	30	291	733048	17266	0	72513	522.0	1425.9	2.5420852	2.139775	12
316	122011221	19676	1024	0	143	532629	776	74	1419	530.71	1467.6	-0.1964934	7.3835344	10
319	12001000	50656	4892	48009	581	585729	5407	10	942110	548.52	1143.6	-3.0336545	-1.2133507	0
320	122011221	38929	11804	75	50	880704	1299	17	149	542.84	1496.7	2.7030618	-0.53595823	13
322	122011221	7099	5257	4	57	534331	1428	0	180	542.89	1476.4	-0.038030196	7.447037	10
323	122011021	56177	247	293	369	603106	8338	17	366200	546.07	1384.0	-3.4758415	1.2927363	0
324	122011221	40557	432	333	42	684449	601	0	77964	545.09	1436.7	1.0589709	7.463153	12
326	2120212020	91793	114	742	268	302764	14083	27	154704	546.12	1323.4	-2.3510015	2.8625045	2
327	122011201	145427	4399	109	288	750751	2232	0	401516	548.48	1346.0	-2.6395528	1.8032138	2
328	122011221	72486	63592	147	325	1201420	587	1452	5646	552.34	1521.5	5.206044	-2.1148522	9
331	122011221	17215	37294	0	211	688713	206	352	1228	556.11	1552.0	2.912785	-0.88276476	13
332	122011221	49645	65	0	147	874788	352	0	19491	558.71	1452.3	1.9995888	7.531006	12
339	122212201	14077	435	2889577	678	655409	2811	1908	111064	564.69	1086.7	-8.927777	-4.705209	8
342	122011221	17691	29	13	46	602556	246	994	177	564.83	1481.0	0.006379134	7.418541	10
343	122011221	68040	4092	0	228	757285	27634	22	135719	563.51	1406.1	2.6798005	2.0805638	4
346	121001000	149214	258	301588	956	711347	655	1802	404412	572.08	1116.3	-2.6840746	2.0571682	2
347	122011221	38008	11374	0	47	702495	1184	0	465	568.11	1503.3	1.8470908	7.420064	12
348	2120211020	61171	5228	132	213	533883	1433	167	245497	575.01	1331.6	-2.8277705	2.2492192	2
353	122011221	10610	13	4	149	377951	230	0	2190	574.62	1461.7	-1.4101148	7.012634	10
354	122011221	53155	331	51	247	690760	1314	100	21235	577.08	1429.0	1.2843217	6.9071565	12
356	122011221	51408	9199	0	305	376191	1329	0	953	577.38	1537.6	0.67184764	6.10521	16
361	122212201	10607	14788	1952155	385	324928	771	1691	671	581.66	1059.8	-8.95994	-3.979787	8
366	122011221	99310	17297	147	88	909292	982	37	10739	586.71	1394.4	2.7913334	-0.5393289	13
367	122011221	14660	134	12	159	615246	465	13942	2218	589.1	1471.7	0.07044837	7.408064	10
368	122011221	42775	713	0	7	683568	506	49	331	588.24	1512.3	1.2386556	7.029513	12
370	122011221	16208	275	0	46	365545	419	5223	45	589.83	1489.5	-1.3776503	6.9655657	10
379	122212201	6369	1827	1937442	401	339838	614	991	94	599.58	1039.2	-9.006417	-3.9462023	8
380	122011221	30988	1250	0	303	840479	1152	79	58867	604.1	1441.1	1.8353946	7.6614356	12
382	122011221	29079	3742	74	64	795887	1957	0	55314	603.08	1375.6	1.8562974	7.651279	12
386	122011221	75946	6578	64	104	737002	447	0	10059	600.17	1415.8	2.066077	6.5616875	-1
387	122011221	58296	20615	0	1	424769	249	0	1299	598.82	1537.3	1.4063996	6.7663727	12
388	122011021	80624	356	285	436	751773	1329	29	56455	605.36	1349.6	1.6200258	6.8137107	12
390	122011221	27031	242	0	188	568946	480	12301	34707	610.71	1464.2	-0.035664055	7.4433913	10
391	122011221	6357	244	0	76	380035	676	1502	86	607.22	1498.6	-1.3905119	7.0404143	10
395	1000	126688	37	17550	694	389781	1035	86	131	617.02	982.91	2.3121305	4.233615	4
399	122011221	7186	81	8	205	297832	190	59837	513	614.28	1482.2	-1.8491284	6.392121	10
400	122011221	5132	949	0	1817	410644	295	0	112	611.64	1514.8	-1.225048	7.2444153	10
401	122011221	56905	11849	0	0	490430	257	35	10341	616.88	1549.6	1.140058	6.580784	12
402	122011221	63737	149	0	745	904864	705	0	27440	620.78	1394.5	2.1584523	7.420278	12
403	122011221	23951	8146	45	1107	608491	2098	268	189763	620.15	1575.9	-2.6619031	2.0335453	2
404	1111111002	33772	132	2432	218	435609	5152	19	424362	624.82	1154.3	-3.6648767	0.7304502	0
